MFF;KFF;1;0
DG;BP;3;1
NK;Si;1;1
HIF;Deg;3;1
HBK;AIK;2;1
GB;VM;0;1
MB;VB;2;2
Elf;BKH;0;2
BP;MFF;1;2
Deg;HBK;3;1
BKH;HIF;3;1
Si;DG;0;0
KFF;GB;2;0
VM;MB;0;1
AIK;NK;0;3
VB;Elf;0;0
Elf;BP;5;0
BKH;KFF;1;3
AIK;HIF;2;0
NK;VM;2;1
MB;Deg;2;0
HBK;DG;2;0
VB;Si;1;1
GB;MFF;0;1
HIF;VB;2;0
Deg;Elf;1;2
KFF;HBK;2;0
DG;GB;1;0
Si;BKH;1;4
VM;AIK;1;0
BP;MB;2;0
MFF;NK;3;0
AIK;Si;0;0
MB;Elf;0;1
HBK;BP;0;2
BKH;VM;3;1
MFF;HIF;4;2
VB;KFF;0;0
Deg;DG;2;1
GB;NK;1;1
KFF;Si;2;2
MB;AIK;0;0
BKH;DG;4;1
Elf;HBK;6;1
GB;Deg;6;0
VB;MFF;0;6
NK;HIF;2;0
VM;BP;0;1
MFF;AIK;3;1
HBK;BKH;1;0
BP;GB;0;0
Si;Elf;3;4
Deg;NK;0;2
DG;KFF;3;1
VM;VB;3;1
HIF;MB;0;0
BKH;Deg;6;1
VB;NK;1;3
HIF;DG;4;3
Elf;VM;2;0
MB;Si;3;0
KFF;BP;1;3
HBK;MFF;0;1
AIK;GB;2;2
Deg;AIK;2;1
DG;MB;2;0
BP;VB;2;1
MFF;BKH;2;2
GB;HIF;1;1
Si;HBK;1;2
VM;KFF;0;1
NK;Elf;1;2
MB;HBK;0;2
BP;Si;1;2
DG;AIK;1;0
KFF;NK;2;1
Elf;MFF;3;0
Deg;VB;1;1
HIF;VM;0;2
BKH;GB;4;1
GB;MB;0;1
NK;BP;0;2
HBK;HIF;0;0
AIK;KFF;1;1
Elf;DG;1;1
Si;VM;2;0
VB;BKH;0;2
MFF;Deg;5;0
HIF;BP;2;1
KFF;Deg;2;1
VM;MFF;1;3
VB;HBK;1;2
AIK;Elf;1;2
Si;GB;2;0
DG;NK;2;2
BKH;MB;3;0
BP;AIK;0;2
Deg;VM;0;2
MFF;Si;3;0
HBK;GB;0;0
NK;BKH;2;2
DG;VB;2;0
MB;KFF;1;1
Elf;HIF;2;0
AIK;BKH;1;2
VM;DG;1;2
BP;Deg;1;2
Si;HIF;1;2
MFF;MB;1;2
KFF;Elf;0;4
GB;VB;1;2
NK;HBK;1;2
HBK;VM;2;2
BKH;BP;4;2
Deg;Si;0;3
HIF;KFF;3;1
Elf;GB;1;1
MB;NK;1;2
VB;AIK;1;2
DG;MFF;2;0
BP;HIF;1;0
DG;Elf;0;4
VM;BKH;1;0
AIK;MFF;0;0
NK;Deg;1;0
GB;HBK;1;1
KFF;VB;1;0
Si;MB;2;3
BKH;Elf;3;1
Deg;BP;2;0
HBK;VB;0;5
MB;DG;0;1
HIF;NK;2;1
GB;KFF;2;0
Si;AIK;0;1
MFF;VM;3;1
DG;BKH;1;0
Deg;HIF;2;2
BP;VM;0;2
Elf;Si;1;0
KFF;AIK;1;1
VB;MB;0;3
MFF;HBK;3;0
NK;GB;3;0
AIK;BP;2;2
GB;DG;2;1
Si;KFF;3;0
BKH;VB;2;0
HIF;Elf;1;0
HBK;NK;1;3
MB;MFF;1;0
VM;Deg;0;1
BP;HBK;3;1
Deg;GB;1;2
VB;VM;0;3
BKH;Si;3;2
MFF;DG;0;0
KFF;HIF;0;0
Elf;MB;2;0
NK;AIK;3;1
MB;HIF;0;3
BP;KFF;2;3
VM;HBK;0;0
GB;BKH;4;2
DG;Deg;4;1
AIK;VB;3;0
Elf;NK;3;2
Si;MFF;1;3
HBK;Si;2;1
VM;Elf;1;0
Deg;BKH;1;0
HIF;AIK;4;2
KFF;MB;0;2
VB;BP;4;3
MFF;GB;2;2
NK;DG;0;2
Si;VB;7;0
GB;BP;1;0
DG;VM;1;2
HIF;MFF;1;3
BKH;HBK;3;2
Elf;KFF;0;3
NK;MB;0;2
AIK;Deg;2;0
Deg;MFF;1;2
BP;NK;2;2
MB;GB;0;1
AIK;DG;2;0
VB;HIF;0;1
KFF;BKH;1;0
HBK;Elf;0;1
VM;Si;0;1
DG;HBK;1;0
NK;KFF;1;0
BKH;AIK;2;0
Si;Deg;3;2
HIF;GB;1;1
MB;VM;2;3
Elf;VB;2;1
MFF;BP;2;1
HBK;Deg;0;0
AIK;MB;1;0
GB;Si;0;1
VM;NK;2;1
KFF;MFF;1;0
BP;Elf;0;3
VB;DG;0;1
HIF;BKH;2;2
Deg;KFF;1;3
Si;BP;3;2
HBK;MB;1;1
DG;HIF;0;0
BKH;NK;4;1
MFF;VB;5;0
VM;GB;3;1
Elf;AIK;3;0
BP;DG;1;2
VB;Deg;1;1
NK;MFF;0;1
KFF;VM;1;3
MB;BKH;2;1
AIK;HBK;1;1
HIF;Si;2;2
GB;Elf;1;2
VM;HIF;0;0
DG;Si;2;4
HBK;KFF;3;0
BKH;MFF;4;2
Elf;Deg;2;2
MB;BP;1;2
NK;VB;4;3
GB;AIK;1;1
HIF;HBK;2;2
MFF;Elf;1;0
BP;BKH;2;1
KFF;DG;2;1
VB;GB;1;2
Deg;MB;1;2
Si;NK;2;0
AIK;VM;3;1